Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0,3800,1,0.1016,0.018,0.009,10,4,8,-2.586838821,-4.076429369,0.243007664,5.576429369
0,2300,1,0.1016,0.008,0.004,10,4,12,1000000,1000000,,
0,2300,2,0.1016,0.008,0.004,10,4,12,1000000,1000000,,
0,3067.732437,3.851391089,0.094369323,0.019152983,0.005564538,9.846652898,4.262162075,4.910389636,1000000,1000000,,
0,3124.390532,1.08267734,0.106751386,0.013980606,0.00567731,10.57685741,3.842555863,5.441974674,1000000,1000000,,
0,2501.062546,2.209338959,0.09557421,0.010505148,0.008327297,9.560817516,3.98815278,11.7688464,1000000,1000000,,
0,3742.48579,3.174369822,0.10243773,0.010688829,0.004612108,10.93985083,4.012854868,1.39038735,1000000,1000000,,
0,3235.234633,3.330049343,0.103896227,0.018757951,0.003849435,10.05717853,3.967468706,0.74819495,1000000,1000000,,
0,3072.95216,3.847623959,0.0955265,0.019152983,0.005564538,9.799671517,4.256345691,4.88819854,1000000,1000000,,
0,3124.390532,1.08267734,0.106751386,0.017814224,0.009032379,10.57685741,3.843889217,5.441974674,1000000,1000000,,
0,3053.767714,3.851391089,0.094369323,0.019797758,0.005564538,9.846652898,4.265209971,4.910389636,1000000,1000000,,
0,3120.595965,1.08267734,0.106974059,0.013980606,0.003983848,10.5948657,3.844405396,5.441974674,1000000,1000000,,
0,3230.01491,3.24297095,0.102739104,0.018757951,0.003849435,10.05717853,3.973284977,0.770859272,1000000,1000000,,
0,3800,1,0.1016,0.01416638,0.005644841,10,3.998666646,8,-2.392299296,-3.657061949,0.293589368,5.157061949
0,3792.723637,1,0.1016,0.018,0.009,10,3.996952024,8.664957362,1000000,1000000,,
0,2321.109414,1,0.101377327,0.008,0.005693551,9.981991687,3.998150467,12,1000000,1000000,,
0,2474.614834,1.016024833,0.1016,0.01416638,0.008347529,9.944820072,4.061645438,8,1000000,1000000,,
0,3781.160581,1,0.101706073,0.018040401,0.008981183,9.985994804,4.014017791,8,1000000,1000000,,
0,3086.398491,1,0.1016,0.01416638,0.005644841,10,3.998666646,7.700463837,1000000,1000000,,
0,3714.559318,2.218755937,0.09557421,0.010505148,0.00562461,9.53396129,3.988965441,11.81798086,1000000,1000000,,
0,3071.195822,3.850950323,0.092266606,0.019478112,0.00559219,9.860658094,4.248144247,4.910389636,1000000,1000000,,
0,3766.602454,3.851391089,0.094369323,0.019152983,0.005564538,9.846652898,4.262162075,4.92835595,1000000,1000000,,
0,3799.030003,1,0.1016,0.018,0.009621787,10,4,8,1000000,1000000,,
0,2300.969997,1,0.1016,0.008,0.004,10,4,12,1000000,1000000,,
0,3743.318155,1,0.101608428,0.018,0.004596663,9.940415089,4,7.039613679,1000000,1000000,,
0,2522.231259,1.066748277,0.095656431,0.013980606,0.00567731,10.57685741,3.842555863,5.549310514,1000000,1000000,,
0,3800,1,0.1016,0.01416638,0.005644841,10.08025075,3.998666646,8,-2.3982081,-3.669799515,0.29266829,5.169799515
0,2301.24909,1,0.1016,0.013863614,0.005707139,9.92576065,4.014106981,12,1000000,1000000,,
0,3797.983718,3.174369822,0.102429302,0.010688829,0.009015293,10.97844223,4.012854868,2.3510396,1000000,1000000,,
0,3103.224972,2.230155338,0.106669184,0.010505148,0.008327297,9.560817516,3.98815278,11.62798855,1000000,1000000,,
0,3197.148115,1.08267734,0.105200183,0.008119025,0.003970303,10.57685741,3.828448883,5.441974674,1000000,1000000,,
0,2500.92249,3.851391089,0.094369323,0.01955708,0.005628984,9.852111146,4.262162075,4.917423348,1000000,1000000,,
0,3800,1,0.1016,0.014254904,0.009,10,4.000051972,8,-2.50776238,-3.905964867,0.256257326,5.405964867
0,3800,1,0.101875409,0.018,0.009,10.01697383,3.929307824,8.158248987,-2.585950884,-4.074515249,0.242565839,5.574515249
0,3800,1,0.102268083,0.017911475,0.005644841,10.08025075,3.998614674,8,-2.521568937,-3.93572756,0.266673317,5.43572756
0,3124.390532,1.08267734,0.106751386,0.013246943,0.00567731,10.57685741,3.842555863,5.441974674,1000000,1000000,,
0,2353.281984,1.988750936,0.102007315,0.008,0.008853128,10,4.014015964,12,1000000,1000000,,
0,3067.732437,3.970400314,0.094151887,0.011745696,0.005564538,9.846652898,4.257015026,4.923696712,1000000,1000000,,
0,3746.718016,1.0319705,0.1016,0.018,0.004153332,10,4,8,1000000,1000000,,
0,3800,1.07844637,0.101817473,0.019138894,0.005644841,10.08025075,4.003813654,8,-2.522696214,-3.938157624,0.263955325,5.438157624
0,3800,1,0.1016,0.018,0.009,10,4,8,-2.586838821,-4.076429369,0.243007664,5.576429369
0,3800,1,0.101600015,0.018,0.009,10,4,8,-2.584819378,-4.07207607,0.243292522,5.57207607
0,3800,1,0.1016,0.018000015,0.009,10,4,8,-2.586839915,-4.076431728,0.243007568,5.576431728
0,3800,1,0.1016,0.018,0.009000015,10,4,8,-2.584820222,-4.072077889,0.243292461,5.572077889
0,3800,1,0.1016,0.018,0.009,10.00000001,4,8,-2.586838829,-4.076429385,0.243007664,5.576429385
0,3800,1,0.1016,0.018,0.009,10,4.000000015,8,-2.584818265,-4.072073672,0.24329266,5.572073672
