Alpha,Cl,Cd
-10.0,-0.4143,0.1188
-9.0,-0.4896,0.08049
-8.0,-0.5906,0.05535
-7.0,-0.5928,0.0443
-6.0,-0.577,0.02961
-5.0,-0.5025,0.02577
-4.0,-0.3554,0.01877
-3.0,-0.1753,0.01548
-2.0,-0.0689,0.01377
-1.0,0.0986,0.01306
0.0,0.3166,0.01244
1.0,0.4228,0.01203
2.0,0.5182,0.01195
3.0,0.6121,0.01231
4.0,0.7081,0.01317
5.0,0.7984,0.01363
6.0,0.8776,0.01511
7.0,0.9284,0.02001
8.0,1.0053,0.02475
9.0,1.0712,0.0329
10.0,1.076,0.04486
11.0,1.0011,0.06089
12.0,0.8615,0.09579
13.0,0.7342,0.15931
14.0,0.7609,0.16037
15.0,0.8121,0.16579
16.0,0.8072,0.18633
17.0,0.7911,0.22556
18.0,0.8026,0.24598
19.0,0.8176,0.25244
20.0,0.8219,0.26781
