Alpha,Cl,Cd
-10.0,-0.3105,0.11351
-9.0,-0.3095,0.10371
-8.0,-0.3189,0.09461
-7.0,-0.3459,0.08655
-6.0,-0.3989,0.07967
-5.0,-0.3828,0.06584
-4.0,-0.2538,0.03565
-2.0,0.0042,0.01783
-1.0,0.2065,0.01344
0.0,0.3235,0.01289
1.0,0.4705,0.01162
2.0,0.5812,0.01094
3.0,0.6861,0.01129
4.0,0.7868,0.01219
5.0,0.8832,0.01353
6.0,0.9743,0.01529
7.0,1.0579,0.01756
8.0,1.1167,0.01937
9.0,1.1241,0.02493
10.0,1.1269,0.03186
11.0,1.1368,0.03982
12.0,1.1057,0.05181
13.0,1.0423,0.07003
14.0,0.9614,0.09628
16.0,0.863,0.16192
17.0,0.8729,0.18603
18.0,0.8764,0.21941
19.0,0.8818,0.27425
