Alpha,Cl,Cd
-5.0,-0.0668,0.04043
-4.0,0.009,0.02435
-3.0,0.1131,0.02034
-2.0,0.2157,0.01657
-1.0,0.3234,0.01449
0.0,0.3928,0.01458
1.0,0.5433,0.01411
2.0,0.6512,0.01508
3.0,0.7539,0.01513
4.0,0.8552,0.01705
5.0,0.9531,0.01723
6.0,1.0461,0.0195
7.0,1.1307,0.02034
8.0,1.2061,0.0214
9.0,1.2511,0.02586
10.0,1.261,0.02889
11.0,1.2522,0.03402
12.0,1.3035,0.0356
13.0,1.0968,0.06359
14.0,0.8763,0.11298
15.0,0.8458,0.13356
16.0,0.8942,0.13684
17.0,0.9097,0.15046
18.0,0.9019,0.1745
19.0,0.9009,0.19725
20.0,0.8924,0.2232
