Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
MH30_7_DOE,2300,0.0762,1,0.008,0.004,10,4,1.3064,1.133136355,0.912799017,13.03533363,0,0.871707534
MH30_7_DOE,2300,0.0762,1,0.008,0.004,6,1,1.3064,2.063994769,0.379321949,13.16418195,0,
MH30_7_DOE,2300,0.0762,1,0.018,0.009,10,4,1.3064,0.630656336,1.22432639,12.99218488,0,
MH30_7_DOE,2300,0.0762,1,0.018,0.009,6,1,1.3064,1.095251076,0.474046787,12.85697269,0,
MH30_7_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,2.18358705,0.7754361,12.87202787,0,
MH30_7_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,4.045428082,0.318615662,13.00099468,0,
MH30_7_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.178180228,1.061812032,13.02256346,0,
MH30_7_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,2.10780366,0.403063346,12.99406552,0,
MH30_7_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.476991499,1.957620104,17.20089579,0.476991499,
MH30_7_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.772748333,0.91572063,17.1703124,0,
MH30_7_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.289843485,2.546051256,19.55751157,0.289843485,
MH30_7_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.448301117,1.026100062,17.3761251,0,
MH30_7_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.871707534,1.722865544,17.49043751,0.871707534,
MH30_7_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.46259106,0.787292623,17.23121095,0,
MH30_7_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.495222637,2.343539374,17.19816732,0.495222637,
MH30_7_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.814050296,0.906912061,17.18933034,0,
MH30_7_DOE,3600,0.0762,1,0.008,0.004,10,4,1.2164,0.710436324,1.02129709,12.94983411,0,
MH30_7_DOE,3600,0.0762,1,0.008,0.004,6,1,1.2164,1.256518964,0.432819272,12.69129443,0,
MH30_7_DOE,3600,0.0762,1,0.018,0.009,10,4,1.2164,0.415411126,1.32549845,12.94886923,0,
MH30_7_DOE,3600,0.0762,1,0.018,0.009,6,1,1.2164,0.688218283,0.529604642,12.83428526,0,
MH30_7_DOE,3600,0.0762,2,0.008,0.004,10,4,1.3964,1.338052684,0.925990703,13.41267395,0,
MH30_7_DOE,3600,0.0762,2,0.008,0.004,6,1,1.3964,2.430445734,0.385521472,13.46365094,0,
MH30_7_DOE,3600,0.0762,2,0.018,0.009,10,4,1.3964,0.748350989,1.237981964,12.83551741,0,
MH30_7_DOE,3600,0.0762,2,0.018,0.009,6,1,1.3964,1.293592368,0.480829228,12.84067082,0,
MH30_7_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.326106213,2.067450154,17.33731556,0.326106213,
MH30_7_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.499177192,1.004363252,17.11228991,0,
MH30_7_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.217548403,2.526646544,19.40967774,0.217548403,
MH30_7_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.309298568,1.077101362,17.22004724,0,
MH30_7_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3964,0.568839457,1.972882359,17.12899423,0.568839457,
MH30_7_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3964,0.915112611,0.927180264,17.05662584,0,
MH30_7_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3964,0.348741198,2.550739788,19.30665231,0.348741198,
MH30_7_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3964,0.534338997,1.034468259,17.36280036,0,
MH30_7_DOE,3800,0.0762,1,0.008,0.004,10,4,1.1726,0.991667419,0.700205527,12.87662244,0,
MH30_7_DOE,3800,0.0762,1,0.008,0.004,6,1,1.1726,1.817122659,0.289821427,12.8526969,0,
MH30_7_DOE,3800,0.0762,1,0.018,0.009,10,4,1.1726,0.545376813,0.946674963,13.10318685,0,
MH30_7_DOE,3800,0.0762,1,0.018,0.009,6,1,1.1726,0.958078554,0.363749612,12.99429727,0,
MH30_7_DOE,3800,0.0762,2,0.008,0.004,10,4,1.3076,1.900207644,0.646096168,13.12074637,0,
MH30_7_DOE,3800,0.0762,2,0.008,0.004,6,1,1.3076,3.551459983,0.263922861,12.88339114,0,
MH30_7_DOE,3800,0.0762,2,0.018,0.009,10,4,1.3076,1.00862581,0.894417445,12.87672806,0,
MH30_7_DOE,3800,0.0762,2,0.018,0.009,6,1,1.3076,1.832999025,0.335987745,12.72845817,0,
MH30_7_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.409489089,1.521061956,19.08521843,0.409489089,
MH30_7_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.671049266,0.706087295,17.37653422,0,
MH30_7_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.243006233,2.009729065,19.2540164,0.243006233,
MH30_7_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.383919641,0.798574904,19.20072269,0,
MH30_7_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.735632258,1.465197803,17.35123754,0,
MH30_7_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.260817574,0.660117845,17.11642957,0,
MH30_7_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.402049383,2.045146848,19.18504786,0.402049383,
MH30_7_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.684604716,0.773055954,17.0204711,0,
NACA2412_DOE,2300,0.0762,1,0.008,0.004,10,4,1.3064,0.988751568,0.995979106,13.03125048,0,
NACA2412_DOE,2300,0.0762,1,0.008,0.004,6,1,1.3064,1.860371388,0.492441252,12.98988676,0,
NACA2412_DOE,2300,0.0762,1,0.018,0.009,10,4,1.3064,0.561873383,1.375892373,13.06307483,0,
NACA2412_DOE,2300,0.0762,1,0.018,0.009,6,1,1.3064,1.072308193,0.577916369,13.22658443,0,
NACA2412_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,1.894759741,0.849249556,12.96471691,0,
NACA2412_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,3.638169042,0.414249527,12.91746783,0,
NACA2412_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.040423692,1.200327317,12.83555698,0,
NACA2412_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,2.061909413,0.491656102,12.9387064,0,
NACA2412_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.423650968,2.099937499,17.07734513,0.423650968,
NACA2412_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.699091053,1.146152721,16.99244308,0,
NACA2412_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.266733126,2.767383207,19.29784942,0.266733126,
NACA2412_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.431547478,1.336717371,17.13579798,0,
NACA2412_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.764468222,1.863811363,16.98099494,0.764468222,
